,prob
2022-11-01,0.4600240886211395
2022-11-29,0.10244080424308777
2022-12-27,0.13943640887737274
2023-02-01,0.3720749020576477
2023-03-01,0.3725922703742981
2023-03-29,0.014385567978024483
2023-04-27,0.677846372127533
2023-05-30,0.009702789597213268
2023-06-29,0.3419729769229889
2023-07-27,0.03817300498485565
2023-08-24,0.2370852679014206
2023-09-21,0.6553711891174316
2023-10-27,0.33914661407470703
2023-11-24,0.9765071868896484
2023-12-22,0.08268693089485168
2024-01-22,0.2736988961696625
2024-02-27,0.8701276183128357
2024-03-26,0.005537482909858227
2024-04-25,0.013635968789458275
2024-05-28,0.010002009570598602
2024-06-26,0.0245039202272892
2024-07-24,0.42096829414367676
2024-08-21,0.6439541578292847
2024-09-20,0.02718314155936241
2024-10-25,0.06440533697605133
2024-11-22,0.44089409708976746
2024-12-20,0.023726047948002815
2025-01-20,0.7889055013656616
2025-02-25,0.0692826509475708
2025-03-25,0.6416347026824951
2025-04-23,0.8391398191452026
2025-05-26,0.7108097076416016
2025-06-24,0.45579174160957336
2025-07-22,0.9326416254043579
2025-08-19,0.6637236475944519
2025-09-16,0.9773683547973633
2025-10-22,0.9765973687171936
2025-11-19,0.12630467116832733
2025-12-17,0.12092207372188568
2026-01-16,0.9979299306869507
2026-02-13,0.9965678453445435
2026-03-23,0.9652760624885559
2026-04-21,0.06772395223379135
2026-05-22,0.9693313241004944
