,prob
2022-11-01,0.08652515709400177
2022-11-29,0.019765522330999374
2022-12-27,0.06264746934175491
2023-02-01,0.10404086858034134
2023-03-01,0.015600867569446564
2023-03-29,0.0001799986494006589
2023-04-27,0.21894164383411407
2023-05-30,0.15837247669696808
2023-06-29,0.21277394890785217
2023-07-27,0.1604985147714615
2023-08-24,0.125658318400383
2023-09-21,0.2676789164543152
2023-10-27,7.680543785681948e-05
2023-11-24,0.012105915695428848
2023-12-22,0.015570120885968208
2024-01-22,0.08252983540296555
2024-02-27,0.18123872578144073
2024-03-26,0.06876156479120255
2024-04-25,0.09138218313455582
2024-05-28,0.42701199650764465
2024-06-26,0.02535717748105526
2024-07-24,0.053892526775598526
2024-08-21,0.007212880998849869
2024-09-20,0.005390592385083437
2024-10-25,0.17884241044521332
2024-11-22,0.0004035504243802279
2024-12-20,0.030848011374473572
2025-01-20,6.1556875152746215e-06
2025-02-25,0.3214375972747803
2025-03-25,0.12328130006790161
2025-04-23,0.0181218683719635
2025-05-26,0.0771109089255333
2025-06-24,0.18988832831382751
2025-07-22,0.07990241795778275
2025-08-19,0.11527006328105927
2025-09-16,4.8279940529027954e-05
2025-10-22,2.8477230443968438e-05
2025-11-19,0.000823628157377243
2025-12-17,0.04698125645518303
2026-01-16,0.04164665937423706
2026-02-13,0.016842639073729515
2026-03-23,0.20051535964012146
2026-04-21,0.11388115584850311
2026-05-22,0.057940710335969925
