,prob
2022-11-01,0.5294982194900513
2022-11-29,0.48490598797798157
2022-12-27,0.49199122190475464
2023-02-01,0.4891372621059418
2023-03-01,0.4770614206790924
2023-03-29,0.48044291138648987
2023-04-27,0.4834664463996887
2023-05-30,0.4815865159034729
2023-06-29,0.48749464750289917
2023-07-27,0.6000002026557922
2023-08-24,0.370095819234848
2023-09-21,0.4905014634132385
2023-10-27,0.5264977812767029
2023-11-24,0.5197197794914246
2023-12-22,0.519656777381897
2024-01-22,0.5430948734283447
2024-02-27,0.4849330186843872
2024-03-26,0.30711886286735535
2024-04-25,0.4631715714931488
2024-05-28,0.38926082849502563
2024-06-26,0.42936795949935913
2024-07-24,0.45315316319465637
2024-08-21,0.4414043128490448
2024-09-20,0.47359123826026917
2024-10-25,0.4700278043746948
2024-11-22,0.4894239902496338
2024-12-20,0.43179458379745483
2025-01-20,0.47528427839279175
2025-02-25,0.4627772271633148
2025-03-25,0.473030686378479
2025-04-23,0.4895312786102295
2025-05-26,0.48341378569602966
2025-06-24,0.4687682092189789
2025-07-22,0.30155640840530396
2025-08-19,0.46555373072624207
2025-09-16,0.47222888469696045
2025-10-22,0.4571804404258728
2025-11-19,0.4443950355052948
2025-12-17,0.4475085139274597
2026-01-16,0.3359341025352478
2026-02-13,0.4105215072631836
2026-03-23,0.4819920063018799
2026-04-21,0.5225757360458374
2026-05-22,0.5044575333595276
